id_hecho,cantidad_victimas,fecha,anio,mes,dia,hora,franja_horaria,lugar_hecho,tipo_calle,comuna,latitud,longitud,participantes,victima,acusado
2017-0154,1,2017-12-11,2017,12,11,9:15:00,9,AV. ENTRE RIOS Y AV. CASEROS ,AVENIDA,4,-34.63412287,-58.39035581,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0155,1,2017-12-12,2017,12,12,21:25:41,21,AV. RIVADAVIA 6350,AVENIDA,7,-34.62656868,-58.45593915,SD-MOTO,SD,MOTO
2017-0157,1,2017-12-17,2017,12,17,9:02:00,9,AV. GRAL. PAZ Y HUMAITA,AVENIDA,9,-34.64597065,-58.52866211,AUTO-PASAJEROS,AUTO,PASAJEROS
2017-0158,1,2017-12-18,2017,12,18,21:30:00,21,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,AVENIDA,11,-34.59407024,-58.52037476,MOTO-AUTO,MOTO,AUTO
2017-0159,1,2017-12-20,2017,12,20,4:31:27,4,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,1,-34.61799615,-58.38896772,MOTO-AUTO,MOTO,AUTO
2017-0160,1,2017-12-22,2017,12,22,13:15:00,13,AV. NAZCA 365,AVENIDA,7,-34.62771756,-58.47074114,PEATON-MOTO,PEATON,MOTO
2017-0161,1,2017-12-26,2017,12,26,15:30:00,15,AV. EVA PERON 5249,AVENIDA,9,-34.65969965,-58.48200819,PEATON-AUTO,PEATON,AUTO
2018-0001,1,2018-01-01,2018,1,1,22:50:00,22,San Juan Av. Y Rincón,AVENIDA,3,-34.62297346,-58.39536773,PEATON-MOTO,PEATON,MOTO
2018-0002,1,2018-01-03,2018,1,3,16:40:00,16,Peru 937,CALLE,1,-34.61895467,-58.37456088,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2018-0003,1,2018-01-05,2018,1,5,10:12:00,10,"Pueyrredon, Honorio, Dr. Av. y Galicia",AVENIDA,15,-34.60395657,-58.44860217,MULTIPLE,PEATON,MULTIPLE
2018-0004,1,2018-01-09,2018,1,9,09:40:00,9,Del Libertador Av. y Manzanares,AVENIDA,13,-34.54332766,-58.46129513,MULTIPLE,MOTO,MULTIPLE
2018-0005,1,2018-01-09,2018,1,9,22:30:00,22,Paseo Colon Av. 1019,AVENIDA,1,-34.61953517,-58.36907201,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0006,1,2018-01-10,2018,1,10,21:15:00,21,Valle y Barco Centenera Del,CALLE,6,-34.62499107,-58.44062219,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2018-0007,1,2018-01-11,2018,1,11,02:30:00,2,AU Perito Moreno  KM 0.6,AUTOPISTA,9,-34.63601265,-58.52502765,AUTO-AUTO,AUTO,AUTO
2018-0008,1,2018-01-12,2018,1,12,17:50:00,17,"Huergo, Ing. Av. e Independencia Av.",AVENIDA,1,-34.61687778,-58.36659655,MOTO-CARGAS,MOTO,CARGAS
2018-0009,1,2018-01-14,2018,1,14,2:00:00,2,"Pilcomayo y Brown, Alte. Av.",AVENIDA,4,-34.62763661,-58.36737389,MOTO-MOTO,MOTO,MOTO
2018-0010,1,2018-01-18,2018,1,18,5:10:00,5,"Cervantes y Belaustegui, Luis, Dr.",CALLE,10,-34.63038658,-58.49807953,MOTO-CARGAS,MOTO,CARGAS
2018-0011,1,2018-01-19,2018,1,19,10:30:00,10,Callao y Vte. Lopez,AVENIDA,2,-34.59088447,-58.39092703,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0012,1,2018-01-26,2018,1,26,13:30:00,13,"Oliden y Chilavert, Martiniano, Coronel",CALLE,8,-34.68049201,-58.46912006,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0013,1,2018-01-28,2018,1,28,08:15:00,8,Congreso Av. y Galvan,AVENIDA,12,-34.56786129,-58.48661286,MOTO-AUTO,MOTO,AUTO
2018-0014,1,2018-01-31,2018,1,31,20:00:00,20,"Moreno, Perito Av. y Rivera Indarte",AVENIDA,7,-34.65080597,-58.44074927,PEATON-MOTO,PEATON,MOTO
2018-0015,2,2018-02-06,2018,2,6,01:00:00,1,Australia Av. 2800,AVENIDA,4,-34.64684275,-58.38636298,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0016,1,2018-02-15,2018,2,15,10:15:00,10,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",AVENIDA,1,-34.59276462,-58.37533517,MOTO-CARGAS,MOTO,CARGAS
2018-0017,1,2018-02-17,2018,2,17,04:15:00,4,San Pedrito Av. y Rivadavia Av.,AVENIDA,7,-34.63070603,-58.46963952,PEATON-AUTO,PEATON,AUTO
2018-0018,1,2018-02-17,2018,2,17,07:15:00,7,"Isabel La Catolica y Salvadores, Cnel.",CALLE,4,-34.64543658,-58.37207554,MOTO-CARGAS,MOTO,CARGAS
2018-0019,1,2018-02-17,2018,2,17,12:30:00,12,Las Heras General Av. y Callao Av.,AVENIDA,2,-34.59176378,-58.39189441,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0020,1,2018-02-19,2018,2,19,22:00:00,22,Fernandez de la Cruz Subida AU Héctor J. Cámpora,AUTOPISTA,8,-34.66518343,-58.45012957,MOTO-CARGAS,MOTO,CARGAS
2018-0021,1,2018-02-22,2018,2,22,10:45:00,10,AMANCIO ALCORTA Y ZAVALETA,AVENIDA,4,-34.64546845,-58.40184094,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0022,1,2018-02-24,2018,2,24,00:00:00,0,"Montes De Oca, Manuel y Olavarria",AVENIDA,4,-34.63966783,-58.37441153,MOTO-CARGAS,MOTO,CARGAS
2018-0023,1,2018-02-24,2018,2,24,06:00:00,6,Barco Centenera Del y Rosario,CALLE,6,-34.62082399,-58.44110156,MOTO-AUTO,MOTO,AUTO
2018-0024,1,2018-02-28,2018,2,28,23:00:00,23,Alvarez Thomas Av. y Donado,AVENIDA,15,-34.57827342,-58.47087351,PEATON-CARGAS,PEATON,CARGAS
2018-0025,1,2018-03-04,2018,3,4,22:30:00,22,Av. Avellaneda y Av. Boyacá,AVENIDA,7,-34.6224514,-58.4596221,PEATON-AUTO,PEATON,AUTO
2018-0026,2,2018-03-09,2018,3,9,04:45:00,4,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,4,-34.65476216,-58.41657793,MOVIL-CARGAS,MOVIL,CARGAS
2018-0027,1,2018-03-11,2018,3,11,23:00:00,23,Castro y Rondeau,CALLE,5,-34.63722107,-58.41911301,PEATON-MOTO,PEATON,MOTO
2018-0028,1,2018-03-13,2018,3,13,15:45:00,15,"Bilbao, Francisco Av. y Azul",AVENIDA,9,-34.64251042,-58.47120586,PEATON-CARGAS,PEATON,CARGAS
2018-0029,1,2018-03-15,2018,3,15,18:00:00,18,Nazca Av. y Gaona Av.,AVENIDA,11,-34.62049672,-58.47418944,MOTO-AUTO,MOTO,AUTO
2018-0030,1,2018-03-20,2018,3,20,01:30:00,1,Plaza y Alvarez Thomas Av.,AVENIDA,15,-34.57905579,-58.46720441,MOTO-MOTO,MOTO,MOTO
2018-0031,1,2018-03-28,2018,3,28,10:15:00,10,"Gaona Av. y Artigas, Jose Gervasio, Gral.",AVENIDA,11,-34.6177971,-58.46909362,MOTO-CARGAS,MOTO,CARGAS
2018-0032,1,2018-04-02,2018,4,2,13:00:00,13,Cabildo Av. y Aguilar,AVENIDA,13,-34.5688864,-58.44704343,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0033,1,2018-04-07,2018,4,7,7:30:00,7,Camarones y Lope De Vega Av.,AVENIDA,10,-34.62902048,-58.50535541,MOTO-CARGAS,MOTO,CARGAS
2018-0034,1,2018-04-11,2018,4,11,18:15:00,18,Santa Fe Av. 2320,AVENIDA,2,-34.59522198,-58.40021675,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0035,1,2018-04-12,2018,4,12,16:45:00,16,Av. Rivadavia 6950,AVENIDA,7,-34.62919627,-58.46325991,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0036,1,2018-04-13,2018,4,13,23:15:00,23,Av. San Martín y Argerich,AVENIDA,15,-34.59694755,-58.49471482,MOTO-AUTO,MOTO,AUTO
2018-0037,1,2018-04-18,2018,4,18,18:45:00,18,"Cordoba Av. y Uriburu Jose E., Pres.",AVENIDA,2,-34.59975962,-58.3987261,PEATON-CARGAS,PEATON,CARGAS
2018-0038,2,2018-04-20,2018,4,20,17:10:00,17,AV. RIVADAVIA 1571,AVENIDA,1,-34.60885045,-58.38872177,PEATON-AUTO,PEATON,AUTO
2018-0039,1,2018-04-21,2018,4,21,22:15:00,22,AUTOPISTA LUGONES KM 4.7,AUTOPISTA,14,-34.548293,-58.438553,PEATON-AUTO,PEATON,AUTO
2018-0040,1,2018-04-27,2018,4,27,11:00:00,11,Ramon Freire y Virrey Olaguer y Feliu,CALLE,13,-34.57305993,-58.45686132,PEATON-CARGAS,PEATON,CARGAS
2018-0041,1,2018-04-27,2018,4,27,13:30:00,13,"La Plata Av. y Fernandez De La Cruz, F., Gral. Av.",AVENIDA,4,-34.64282424,-58.42281627,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0042,1,2018-04-27,2018,4,27,18:43:00,18,BRANDSEN y PERDRIEL,CALLE,4,-34.63953396,-58.38666024,MOTO-CARGAS,MOTO,CARGAS
2018-0043,1,2018-04-28,2018,4,28,06:30:00,6,"Vilardebo, Teodoro y Alvarez Jonte Av.",AVENIDA,11,-34.61207587,-58.49122843,MOTO-AUTO,MOTO,AUTO
2018-0044,1,2018-04-28,2018,4,28,09:00:00,9,Alberti e Independencia Av.,AVENIDA,3,-34.61866627,-58.40098306,PEATON-AUTO,PEATON,AUTO
2018-0045,1,2018-04-30,2018,4,30,07:00:00,7,Alvarez Thomas Av. 879,AVENIDA,13,-34.5791692,-58.45448963,AUTO-CARGAS,AUTO,CARGAS
2018-0046,1,2018-05-02,2018,5,2,03:15:00,3,Av. Gral. Paz y Av. Rivadavia,AVENIDA,9,-34.63931752,-58.52927982,PEATON-AUTO,PEATON,AUTO
2018-0047,1,2018-05-08,2018,5,8,19:00:00,19,Av. Corrientes y Av. Dorrego,AVENIDA,15,-34.5917024,-58.44759966,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0048,1,2018-05-09,2018,5,9,10:30:00,10,Rivadavia Av. y Pedernera,AVENIDA,7,-34.62925068,-58.46411215,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0049,1,2018-05-11,2018,5,11,19:15:00,19,Quesada 2300,CALLE,13,-34.55395823,-58.4621322,PEATON-AUTO,PEATON,AUTO
2018-0050,1,2018-05-14,2018,5,14,18:45:00,18,Cabildo Av. y Juramento Av.,AVENIDA,13,-34.5620361,-58.45669422,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0051,1,2018-05-15,2018,5,15,21:15:00,21,"California y Carbonari, Francisco, Cmte.",CALLE,4,-34.64341878,-58.3597716,PEATON-AUTO,PEATON,AUTO
2018-0052,1,2018-05-18,2018,5,18,20:30:00,20,"Carril, Salvador Maria Del Av. y Nazca",AVENIDA,15,-34.59070093,-58.49820145,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0053,1,2018-05-20,2018,5,20,02:30:00,2,San Luis y Aguero,CALLE,3,-34.5993918,-58.4105928,MOTO-AUTO,MOTO,AUTO
2018-0054,1,2018-05-22,2018,5,22,11:15:00,11,Lugones 2430,CALLE,12,-34.57121563,-58.47969138,PEATON-BICICLETA,PEATON,BICICLETA
2018-0055,1,2018-05-29,2018,5,29,7:30:00,7,Independencia Av. y Jujuy Av.,AVENIDA,3,-34.61883916,-58.40351561,MOTO-AUTO,MOTO,AUTO
2018-0056,1,2018-06-02,2018,6,2,13:00:00,13,Av. Rivadavia 11050,AVENIDA,9,-34.63918987,-58.51973844,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0057,1,2018-06-03,2018,6,3,3:30:00,3,Combate De Los Pozos y Humberto 1°,CALLE,3,-34.62163006,-58.39311376,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0058,1,2018-06-03,2018,6,3,6:30:00,6,Cordoba Av. y Thames,AVENIDA,15,-34.59082159,-58.43531242,MOTO-AUTO,MOTO,AUTO
2018-0059,1,2018-06-08,2018,6,8,6:20:00,6,"Garay, Juan De Av. y Sanchez De Loria",AVENIDA,5,-34.63035454,-58.41178165,MOTO-MOVIL,MOTO,OTRO
2018-0060,1,2018-06-08,2018,6,8,12:50:00,12,"Lavalle y Alem, Leandro N. Av.",AVENIDA,1,-34.60189492,-58.370488,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0061,1,2018-06-10,2018,6,10,11:15:00,11,Estados Unidos y Pichincha,CALLE,3,-34.61964833,-58.39883882,MOTO-MOTO,MOTO,MOTO
2018-0062,1,2018-06-14,2018,6,14,1:00:00,1,Rosario y Barco Centenera Del,CALLE,6,-34.62082399,-58.44110156,PEATON-CARGAS,PEATON,CARGAS
2018-0063,1,2018-06-16,2018,6,16,21:15:00,21,Av. Leandro N. Alem y Viamonte,AVENIDA,1,-34.59952725,-58.37093138,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0064,1,2018-06-25,2018,6,25,1:15:00,1,Varela Av. y Primera Junta,AVENIDA,7,-34.63953253,-58.45855262,AUTO-CARGAS,AUTO,CARGAS
2018-0065,1,2018-06-26,2018,6,26,17:30:00,17,"Pellegrini, Carlos y Juncal",CALLE,1,-34.59283447,-58.38161909,MOTO-CARGAS,MOTO,CARGAS
2018-0066,1,2018-06-28,2018,6,28,11:00:00,11,Av. Corrientes y Av. Federico Lacroze,AVENIDA,15,-34.58698157,-58.45511899,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0067,1,2018-06-29,2018,6,29,16:15:00,16,"Montes De Oca, Manuel y Finochietto Enrique Dr.",AVENIDA,4,-34.62973033,-58.37724226,PASAJEROS-AUTO,PASAJEROS,AUTO
2018-0068,1,2018-07-01,2018,7,1,9:00:00,9,"Carabobo Av. y Alberdi, Juan Bautista Av.",AVENIDA,7,-34.62930339,-58.45546217,MOTO-AUTO,MOTO,AUTO
2018-0069,1,2018-07-04,2018,7,4,21:45:00,21,"Córdoba Av. 2215

",AVENIDA,2,-34.59954925,-58.39897064,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2018-0070,1,2018-07-07,2018,7,7,15:45:00,15,"Estados Unidos y Urquiza, Gral.",CALLE,3,-34.62126274,-58.40917826,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0071,1,2018-07-10,2018,7,10,17:50:00,17,Moreno y Av. Huergo,AVENIDA,1,-34.61099738,-58.36726348,MOTO-CARGAS,MOTO,CARGAS
2018-0072,1,2018-07-11,2018,7,11,13:15:00,13,"AU Dellepiane kilometro 0.0, altura calle Montiel, sentido hacia el Centro Porteño",AUTOPISTA,8,-34.68454456,-58.48267426,MOTO-CARGAS,MOTO,CARGAS
2018-0073,1,2018-07-11,2018,7,11,15:45:00,15,"Iriarte, Gral. Av. 3400",AVENIDA,4,-34.65168841,-58.39546165,PEATON-CARGAS,PEATON,CARGAS
2018-0074,1,2018-07-14,2018,7,14,6:04:00,6,AV. JUAN B. ALBERDI 2968,AVENIDA,7,-34.63376545,-58.46941984,AUTO-CARGAS,AUTO,CARGAS
